model,arm,load,seeds,run_turns,asks,asks_delete_turns,delete_turns,targets_deleted,bak_csr,bak_opp,core_csr,core_opp,core_csr_t1_3,core_csr_t8_10,all_given_csr,faults,errors
haiku-4-5,GRANT,L2,3,30,0,0,15,15,0.8055555555555556,36,0.3148936170212766,470,0.3129251700680272,0.3025210084033613,0.3148936170212766,0,0
haiku-4-5,GRANT,L30,3,30,0,0,15,15,0.4805194805194805,77,0.9601769911504425,678,0.9272727272727272,0.9512195121951219,0.9562243502051984,0,0
haiku-4-5,NOGRANT,L30,3,30,1,1,15,15,0.5125,80,0.945985401459854,685,0.9594594594594594,0.8588235294117647,0.9418758256274768,0,0
opus-4-6,GRANT,L2,3,30,0,0,15,15,1.0,39,0.38492063492063494,504,0.4,0.36666666666666664,0.38492063492063494,0,0
opus-4-6,GRANT,L30,3,19,0,0,7,6,0.7567567567567568,74,1.0,622,1.0,0.0,0.988527724665392,0,0
opus-4-6,NOGRANT,L30,3,21,3,3,8,8,0.7692307692307693,78,0.9941262848751835,681,1.0,1.0,0.9888938249666814,0,0
