jdir,cid,path,cap,binding,needs_pre,pre_existed,pre_captured,prev_digest,created,has_basis,LATE_CRITICAL_steel
r1/c7ebda1/P3-seen/T4-rename/events.json,c1,notes.txt,fs.move,STATIC,True,True,True,False,,True,False
r1/c7ebda1/P3-seen/T4-rename/events.json,c1,archive.txt,fs.move,STATIC,True,True,True,False,,True,False
r1/c7ebda1/P3-seen/T6-world-moves/events.json,c1,config.json,fs.patch,STATIC,False,True,True,True,False,True,False
r1/c7ebda1/P3-seen/T6-world-moves/events.json,c2,config.json,fs.patch,STATIC,True,True,True,True,False,True,False
r1/c7ebda1/P3-seen/T7-two-files/events.json,c1,src/greet.ts,fs.write,STATIC,False,False,False,False,True,False,False
r1/c7ebda1/P3-seen/T7-two-files/events.json,c2,src/greet.ts,fs.write,LATE,False,False,False,False,True,False,False
r1/c7ebda1/P3-seen/T7-two-files/events.json,c1,src/greet.ts,fs.write,STATIC,False,True,True,False,False,True,False
r1/c7ebda1/P3-seen/T7-two-files/events.json,c2,src/greet.ts,fs.write,LATE-SAFE,False,True,True,False,False,True,False
r1/f9b27dd/P3-control-b/T1-create/rep-1/events.json,c1,notes.txt,fs.write,STATIC,False,False,False,False,True,False,False
r1/f9b27dd/P3-control-b/T1-create/rep-2/events.json,c1,notes.txt,fs.write,STATIC,False,False,False,False,True,False,False
r1/f9b27dd/P3-control-b/T1-create/rep-3/events.json,c1,notes.txt,fs.write,STATIC,False,False,False,False,True,False,False
r1/f9b27dd/P3-control-b/T2-edit-key/rep-1/events.json,c1,config.json,fs.patch,STATIC,False,True,True,True,False,True,False
r1/f9b27dd/P3-control-b/T2-edit-key/rep-1/events.json,c2,config.json,fs.patch,STATIC,True,True,True,True,False,True,False
r1/f9b27dd/P3-control-b/T2-edit-key/rep-2/events.json,c1,config.json,fs.patch,STATIC,False,True,True,True,False,True,False
r1/f9b27dd/P3-control-b/T2-edit-key/rep-2/events.json,c2,config.json,fs.patch,STATIC,True,True,True,True,False,True,False
r1/f9b27dd/P3-control-b/T2-edit-key/rep-3/events.json,c1,config.json,fs.patch,STATIC,False,True,True,True,False,True,False
r1/f9b27dd/P3-control-b/T2-edit-key/rep-3/events.json,c2,config.json,fs.patch,STATIC,True,True,True,True,False,True,False
r1/f9b27dd/P3-control-b/T3-fix-typo/rep-1/events.json,c1,docs/guide.md,fs.patch,STATIC,True,True,True,True,False,True,False
r1/f9b27dd/P3-control-b/T3-fix-typo/rep-2/events.json,c1,docs/guide.md,fs.patch,STATIC,True,True,True,True,False,True,False
r1/f9b27dd/P3-control-b/T3-fix-typo/rep-3/events.json,c1,docs/guide.md,fs.patch,STATIC,True,True,True,True,False,True,False
