jdir,path,from_i,to_i,d_from,d_to,completed,suite
r1/0289fdb/P6b-B0/a-1/events.json,config.json,7,13,sha256:6d14a47cd,sha256:bcf56be09,True,P6b-B0
r1/2d9c506/P6b-head/a-1/events.json,config.json,7,13,sha256:6d14a47cd,sha256:bcf56be09,False,P6b-head
r1/6e054f7/P6-B0/a-1/events.json,config.json,7,14,sha256:6d14a47cd,sha256:bcf56be09,False,P6-B0
r1/86532df/P2-head/T6-world-moves/events.json,config.json,3,9,sha256:6d14a47cd,sha256:bcf56be09,False,P2-head
r1/fdbe608/P6-head/a-1/events.json,config.json,7,14,sha256:6d14a47cd,sha256:bcf56be09,False,P6-head
r1/fdbe608/P6-head/b-1/events.json,config.json,14,18,sha256:6d14a47cd,sha256:bcf56be09,False,P6-head
