kind,list,class,share,lo,hi,n_rules,n_repos
claude_settings,allow,EXACT_CMD,0.22115833722559552,0.17771642766400805,0.26909370060413823,21410,875
claude_settings,allow,PREFIX,0.5434376459598319,0.5003629015096702,0.5865001477420831,21410,875
claude_settings,allow,BARE,0.05819710415693601,0.04827268204724773,0.07012943801902956,21410,875
claude_settings,allow,PATH,0.03942083138720224,0.031134614013339876,0.04883791004147884,21410,875
claude_settings,allow,DOMAIN,0.04016814572629612,0.028798224147267057,0.05462511255364066,21410,875
claude_settings,allow,MCP,0.0751985053713218,0.05254968860575076,0.10303504235528556,21410,875
claude_settings,allow,OTHER,0.022419430172816442,0.011606066244827245,0.036535868626585026,21410,875
claude_settings,allow,EXACT among shell rules,0.28794697153977133,0.23759768179966118,0.344432559551772,16444,825
claude_settings_local,allow,EXACT_CMD,0.3904517547878677,0.3622603144530477,0.41868974736327436,32739,965
claude_settings_local,allow,PREFIX,0.44005620208314244,0.41467046836578547,0.4690708243929345,32739,965
claude_settings_local,allow,BARE,0.013103637863099055,0.010149152024681213,0.01690006706493984,32739,965
claude_settings_local,allow,PATH,0.024099697608357007,0.020382880053160645,0.028642480663390323,32739,965
claude_settings_local,allow,DOMAIN,0.0648462078866184,0.04987110574798402,0.08186921544628076,32739,965
claude_settings_local,allow,MCP,0.054888664895079264,0.045369945284150545,0.06511148396755859,32739,965
claude_settings_local,allow,OTHER,0.012553834875836159,0.009117204526642534,0.016511714743216884,32739,965
claude_settings_local,allow,EXACT among shell rules,0.4698250514554543,0.43784932844872854,0.5001394720754541,27208,942
both,deny,PATH,0.3647738209817132,0.3106980545559785,0.4233200803960094,4156,351
both,deny,PREFIX,0.5702598652550529,0.5078763074315394,0.6250347794595404,4156,351
both,deny,EXACT_CMD,0.04427333974975938,0.03334045573252751,0.05654100367064374,4156,351
both,deny,BARE,0.006737247353224254,0.0031238906264500366,0.01098901098901099,4156,351
both,deny,MCP,0.00890279114533205,0.003698860764592231,0.016333950442285278,4156,351
